sweep,energy_per_spin,abs_magnetization_per_spin
746,-1.7187500000,0.8984375000
747,-1.6562500000,0.8828125000
748,-1.5468750000,0.8515625000
749,-1.6093750000,0.8515625000
750,-1.5156250000,0.8281250000
751,-1.6875000000,0.8906250000
752,-1.7656250000,0.8906250000
753,-1.5625000000,0.8515625000
754,-1.5156250000,0.8515625000
755,-1.7031250000,0.9140625000
756,-1.8593750000,0.9609375000
757,-1.8437500000,0.9531250000
758,-1.7812500000,0.9453125000
759,-1.7968750000,0.9218750000
760,-1.6718750000,0.8906250000
761,-1.6875000000,0.8984375000
762,-1.9062500000,0.9765625000
763,-1.8593750000,0.9531250000
764,-1.7500000000,0.9218750000
765,-1.8593750000,0.9609375000
766,-1.7812500000,0.9375000000
767,-1.7968750000,0.9375000000
768,-1.7031250000,0.9140625000
769,-1.9218750000,0.9765625000
770,-1.8750000000,0.9687500000
771,-1.8281250000,0.9531250000
772,-1.8125000000,0.9453125000
773,-1.7500000000,0.9296875000
774,-1.9062500000,0.9609375000
775,-1.7656250000,0.9375000000
776,-1.7656250000,0.9375000000
777,-1.7187500000,0.9218750000
778,-1.7500000000,0.9218750000
779,-1.7812500000,0.9218750000
780,-1.4531250000,0.7968750000
781,-1.5937500000,0.8593750000
782,-1.8281250000,0.9531250000
783,-1.7187500000,0.9062500000
784,-1.5937500000,0.8359375000
785,-1.5937500000,0.8437500000
786,-1.8750000000,0.9687500000
787,-1.9062500000,0.9687500000
788,-1.8125000000,0.9453125000
789,-1.7343750000,0.9140625000
790,-1.6093750000,0.8515625000
791,-1.6718750000,0.8906250000
792,-1.6562500000,0.8515625000
793,-1.6250000000,0.8906250000
794,-1.7500000000,0.9296875000
795,-1.9375000000,0.9843750000
796,-1.9062500000,0.9765625000
797,-1.8437500000,0.9375000000
798,-1.6718750000,0.9062500000
799,-1.7656250000,0.9218750000
800,-1.7500000000,0.9218750000
801,-1.6875000000,0.9218750000
802,-1.5781250000,0.8281250000
803,-1.7187500000,0.8906250000
804,-1.8437500000,0.9531250000
805,-1.7343750000,0.9218750000
806,-1.9062500000,0.9765625000
