sweep,energy_per_spin,abs_magnetization_per_spin
373,-1.7343750000,0.9296875000
374,-1.8593750000,0.9609375000
375,-1.7812500000,0.9453125000
376,-1.6562500000,0.8906250000
377,-1.6718750000,0.9062500000
378,-1.7187500000,0.9140625000
379,-1.6562500000,0.8828125000
380,-1.7812500000,0.9375000000
381,-1.7968750000,0.9375000000
382,-1.7968750000,0.9453125000
383,-1.8593750000,0.9609375000
384,-1.7968750000,0.9218750000
385,-1.8593750000,0.9218750000
386,-1.7343750000,0.8906250000
387,-1.6718750000,0.8906250000
388,-1.5625000000,0.8593750000
389,-1.4531250000,0.7812500000
390,-1.5781250000,0.8046875000
391,-1.5937500000,0.8750000000
392,-1.6562500000,0.8906250000
393,-1.5468750000,0.8437500000
394,-1.5781250000,0.8828125000
395,-1.7500000000,0.9218750000
396,-1.6718750000,0.8906250000
397,-1.5937500000,0.8750000000
398,-1.7500000000,0.9218750000
399,-1.8750000000,0.9609375000
400,-1.7812500000,0.9453125000
401,-1.7343750000,0.9140625000
402,-1.7812500000,0.9296875000
403,-1.7656250000,0.9375000000
404,-1.8437500000,0.9531250000
405,-1.8437500000,0.9375000000
406,-1.6875000000,0.8593750000
407,-1.7968750000,0.9062500000
408,-1.7656250000,0.8906250000
409,-1.8750000000,0.9687500000
410,-1.6875000000,0.9062500000
411,-1.5468750000,0.8671875000
412,-1.6250000000,0.8750000000
413,-1.6406250000,0.8828125000
414,-1.6250000000,0.8828125000
415,-1.7187500000,0.9062500000
416,-1.7031250000,0.9140625000
417,-1.7343750000,0.9296875000
418,-1.8125000000,0.9531250000
419,-1.8281250000,0.9453125000
420,-1.8281250000,0.9531250000
421,-1.8906250000,0.9687500000
422,-1.8281250000,0.9531250000
423,-1.8125000000,0.9453125000
424,-1.8593750000,0.9609375000
425,-1.9375000000,0.9843750000
426,-1.9375000000,0.9843750000
427,-1.9062500000,0.9765625000
428,-1.9687500000,0.9921875000
429,-1.8437500000,0.9531250000
430,-1.9218750000,0.9765625000
431,-1.8281250000,0.9453125000
432,-1.8437500000,0.9531250000
433,-1.8437500000,0.9531250000
434,-1.8750000000,0.9531250000
435,-1.8437500000,0.9296875000
436,-1.8906250000,0.9687500000
437,-1.8750000000,0.9687500000
438,-1.7656250000,0.9140625000
439,-1.7187500000,0.8984375000
440,-1.7187500000,0.9218750000
441,-1.8593750000,0.9609375000
442,-1.8281250000,0.9531250000
443,-1.8281250000,0.9531250000
444,-1.8906250000,0.9687500000
445,-1.6562500000,0.8984375000
446,-1.6718750000,0.9062500000
447,-1.6406250000,0.8906250000
448,-1.6718750000,0.8750000000
449,-1.4531250000,0.7890625000
450,-1.6562500000,0.8750000000
451,-1.7656250000,0.9140625000
452,-1.7343750000,0.9140625000
453,-1.8906250000,0.9687500000
454,-1.9062500000,0.9765625000
455,-1.7031250000,0.9062500000
456,-1.6875000000,0.9062500000
457,-1.6406250000,0.8828125000
458,-1.7031250000,0.9062500000
459,-1.7656250000,0.9218750000
460,-1.7031250000,0.8750000000
461,-1.6718750000,0.8828125000
462,-1.7812500000,0.9296875000
463,-1.7343750000,0.9218750000
464,-1.7656250000,0.9296875000
465,-1.7343750000,0.9140625000
466,-1.8593750000,0.9531250000
467,-1.8125000000,0.9453125000
468,-1.7968750000,0.9375000000
469,-1.8125000000,0.9531250000
470,-1.8281250000,0.9531250000
471,-1.6562500000,0.8984375000
472,-1.6875000000,0.9062500000
473,-1.5781250000,0.8828125000
474,-1.6562500000,0.8984375000
475,-1.7500000000,0.9218750000
476,-1.7343750000,0.9140625000
477,-1.8125000000,0.9375000000
478,-1.7343750000,0.9218750000
479,-1.8281250000,0.9531250000
480,-1.7812500000,0.9140625000
481,-1.7812500000,0.9375000000
482,-1.7968750000,0.9453125000
483,-1.8906250000,0.9687500000
484,-1.8750000000,0.9687500000
485,-1.7656250000,0.9296875000
486,-1.7500000000,0.9140625000
487,-1.7500000000,0.8984375000
488,-1.6406250000,0.8671875000
489,-1.6562500000,0.8906250000
490,-1.7500000000,0.9296875000
491,-1.7968750000,0.9453125000
492,-1.8281250000,0.9531250000
493,-1.7031250000,0.9062500000
494,-1.6718750000,0.8671875000
495,-1.7343750000,0.9218750000
496,-1.8125000000,0.9375000000
497,-1.7968750000,0.9453125000
498,-1.8437500000,0.9609375000
499,-1.7343750000,0.9218750000
500,-1.8281250000,0.9531250000
501,-1.7187500000,0.9140625000
502,-1.6250000000,0.8593750000
503,-1.6718750000,0.8828125000
504,-1.7031250000,0.8750000000
505,-1.6093750000,0.8515625000
506,-1.7343750000,0.9218750000
507,-1.6875000000,0.8750000000
508,-1.8437500000,0.9218750000
509,-1.7656250000,0.9296875000
510,-1.6406250000,0.8750000000
511,-1.7968750000,0.9375000000
512,-1.7968750000,0.9296875000
513,-1.8125000000,0.9140625000
514,-1.7500000000,0.8906250000
515,-1.6406250000,0.8593750000
516,-1.6406250000,0.8750000000
517,-1.7812500000,0.9453125000
518,-1.7656250000,0.9375000000
519,-1.7656250000,0.9296875000
520,-1.8906250000,0.9687500000
521,-1.8906250000,0.9687500000
522,-1.8281250000,0.9531250000
523,-1.8125000000,0.9453125000
524,-1.6406250000,0.9062500000
525,-1.6718750000,0.9062500000
526,-1.5312500000,0.8437500000
527,-1.6718750000,0.8984375000
528,-1.7968750000,0.9375000000
529,-1.6406250000,0.8906250000
530,-1.7343750000,0.8984375000
531,-1.8593750000,0.9609375000
532,-1.9375000000,0.9843750000
533,-1.8750000000,0.9687500000
534,-1.8125000000,0.9531250000
535,-1.9218750000,0.9765625000
536,-1.7812500000,0.9375000000
537,-1.8437500000,0.9609375000
538,-1.9375000000,0.9843750000
539,-1.9687500000,0.9921875000
540,-1.9375000000,0.9843750000
541,-1.8750000000,0.9687500000
542,-1.7500000000,0.9296875000
543,-1.7656250000,0.9375000000
544,-1.8437500000,0.9531250000
545,-1.8750000000,0.9687500000
546,-1.8906250000,0.9687500000
547,-1.8750000000,0.9609375000
548,-1.7187500000,0.8906250000
549,-1.7500000000,0.8828125000
550,-1.7812500000,0.8984375000
551,-1.7656250000,0.8828125000
552,-1.7968750000,0.9218750000
553,-1.8437500000,0.9218750000
